date,forecast,lower_bound,upper_bound
2020-10-14,241.0160249769044,219.10711359532482,262.80833875184595
2020-10-15,243.263974022944,221.20356984988248,263.55809228696904
2020-10-16,243.45429126893043,220.75860116723442,265.63840440856745
2020-10-17,309.86446986501744,288.512534411282,332.40446341655417
2020-10-18,308.1215429606493,289.2787353829334,329.8778365285122
2020-10-19,248.03978181806724,226.025039679995,270.29352339925697
2020-10-20,250.83084216110194,229.31553724018906,272.7826139596626
2020-10-21,252.12394484323033,230.9721790978325,272.8830435358659
2020-10-22,255.25869856873726,232.4683523166494,277.4704648773365
2020-10-23,256.07027001937655,233.65907915048192,276.8333538394207
2020-10-24,322.80607137902564,301.2089737901457,344.74263282351535
2020-10-25,321.0715455326361,298.93595918835393,343.79511076983243
2020-10-26,260.66882717289576,239.72821409000377,283.9403455352787
2020-10-27,262.80760334307223,239.61768140422916,284.7360872733219
2020-10-28,263.1257326255775,241.6285303349532,285.7210293241164
2020-10-29,264.9822111299462,244.87680135475446,287.7164641912712
2020-10-30,264.24217906537774,243.35123336510003,285.9279635758243
2020-10-31,329.1931347802153,308.00663705036357,351.53761562117313
2020-11-01,325.48994212554487,303.56218502932467,346.63637231760345
2020-11-02,262.9924237830786,239.44951207212893,283.40700700092333
2020-11-03,262.97488681511925,241.14774842516607,285.81622243525857
2020-11-04,261.145170487346,239.34205126887335,282.6129008800853
2020-11-05,260.9358425656923,238.2227319108426,281.5639741124718
2020-11-06,258.28728227881214,235.24345389237502,279.0639953186685
2020-11-07,321.561866420092,299.3778041909562,343.5467287706683
2020-11-08,316.48689800738055,293.94394140495484,338.8909766869024
2020-11-09,252.99012607415398,232.7307447637548,273.7603138049129
2020-11-10,252.40725993524995,230.09695084829548,273.59360356317654
2020-11-11,250.49912435590875,229.4628225587633,272.1450926636078
2020-11-12,250.7411361215618,227.98685941131126,273.60490218416226
2020-11-13,249.1048908052494,225.76260325771727,271.33770224671827
2020-11-14,313.9711216903293,291.6997864377491,335.84848675840124
2020-11-15,311.07170928847205,288.7241304370031,331.4069714454339
2020-11-16,250.32462143158418,228.23665083469368,273.3132317648883
2020-11-17,253.04121006356957,230.70495985673554,274.71795726542626
2020-11-18,254.9435245990935,233.25368245654565,276.9858239070995
2020-11-19,259.4543259042125,236.1517118955351,281.2145248459874
2020-11-20,262.4795831456396,240.06517708015753,284.17457597584445
2020-11-21,332.3226988271587,310.50799787570713,352.94564299102245
2020-11-22,334.62811403415463,313.15965428285807,356.56505431489904
2020-11-23,279.2181382343427,258.5197320650147,302.9286435609562
2020-11-24,287.30238575211854,265.49705959660156,310.61757077240526
2020-11-25,294.49742746873983,272.37882251307116,317.82299955960457
2020-11-26,304.1192844505233,283.93123703031443,325.5496407397574
2020-11-27,311.9684838291421,289.4587111987369,332.7991577117859
2020-11-28,386.24685734683084,363.5212970365539,407.1673720728241
2020-11-29,392.50366839799267,369.9773623942086,414.42218746192884
2020-11-30,340.47484618367423,317.1556945240925,361.86145767025073
2020-12-01,351.2946455831743,327.4249774891127,372.92735430470947
2020-12-02,360.5172816914399,337.86267334254035,382.6589005847708
2020-12-03,371.4111116830763,348.46163149475785,393.37706050787847
2020-12-04,379.74503729957377,356.6732596104619,403.1134193480496
2020-12-05,453.70626970540405,431.2304142478621,475.37296294495803
2020-12-06,458.847013316532,438.4423477364301,480.7652135674406
2020-12-07,404.92382831073934,384.2888116691196,426.59049032143287
2020-12-08,413.1089824050974,390.484019075141,434.94710867933816
2020-12-09,419.0113440554993,398.7403692690283,440.1414897385312
2020-12-10,425.96940415476325,403.9204035600008,448.52819256193567
2020-12-11,429.8361248864996,408.4277923148764,449.9314943230809
2020-12-12,498.89479319449407,477.04131128622197,518.6926002399233
2020-12-13,498.80348068978674,476.10972581453467,519.260892663448
2020-12-14,439.4319233116548,417.5379432658774,462.1462937220493
2020-12-15,442.0701919833974,419.9923211662704,463.155465958617
2020-12-16,442.4467725872645,421.80615306058394,466.9835531816777
2020-12-17,444.0187123231226,420.8245705967735,467.51248457376704
2020-12-18,442.75360312750547,422.11185040055074,464.6335301070322
2020-12-19,507.04265178996565,485.9394381705182,530.7741749837234
2020-12-20,502.6425090617392,480.36821207093544,524.2098289000828
2020-12-21,439.5097379975424,418.94722042203153,460.78290572271766
2020-12-22,439.00735439977143,417.1736183537333,461.9966431963201
2020-12-23,436.9211124092998,414.16004683562215,458.7231558584473
2020-12-24,436.74823866824863,413.38203441129735,459.5083225676921
2020-12-25,434.47842251583893,411.73513890362136,458.18029478623885
2020-12-26,498.50633807927716,476.6811008846135,519.9446293268252
2020-12-27,494.5733855191764,472.36725007533664,516.9645035786167
2020-12-28,432.60253495833825,411.2265349068551,455.0525486882853
2020-12-29,433.9056974804396,413.6103436102612,455.7325448443105
2020-12-30,434.2012761755237,411.6263882767303,455.61767526454656
2020-12-31,436.9045695255484,416.314000813878,459.3167962834718
2021-01-01,437.91079317677935,415.52293010958465,458.7932526247556
2021-01-02,505.5099453360358,484.59429226552254,526.1791545985045
2021-01-03,505.33114450909915,483.0554167396902,528.6773404941121
2021-01-04,447.18025816936637,423.3234787025303,468.22072573036405
2021-01-05,452.2501770718159,429.6550709470574,473.5761071596406
2021-01-06,456.1413155832847,433.2946058631624,478.01669659769846
2021-01-07,462.15493665721874,441.0366374067766,484.6442907420046
2021-01-08,466.07899466014817,443.4095518149341,489.3991906539035
2021-01-09,536.1056511487216,512.9067382151586,556.826451240296
2021-01-10,537.7780266695357,516.1590856381335,559.6745444500356
2021-01-11,480.82994768376886,460.51576994223865,501.76719894944364
2021-01-12,486.3979915194768,463.39799970057095,509.5561537201147
2021-01-13,490.0433668737511,467.8676342070079,511.4271990544146
2021-01-14,495.04619567802524,473.53841537902787,517.927828675273
2021-01-15,497.19186754939756,476.7135711730403,518.6933908940921
2021-01-16,564.6886112759519,542.9431463213111,586.3685215389655
2021-01-17,563.1138473161768,539.2746074164304,583.4201020008451
2021-01-18,502.25309278413283,481.2304586223088,523.2711578556433
2021-01-19,503.31074527252207,480.94296744249175,524.8644993522056
2021-01-20,501.9303168959313,480.7066406271073,523.4567502484914
2021-01-21,501.48672769387656,477.8308605246833,523.4008654751368
2021-01-22,497.8703812359304,476.04140146597956,519.0574012039872
2021-01-23,559.4022254038814,536.6980733426175,579.9463641706582
2021-01-24,551.7774262030075,530.6891449642902,572.7096970519377
2021-01-25,484.90149362597515,463.69831951097774,507.0461308595639
2021-01-26,480.0982553625041,457.41796751118216,500.1200870528642
2021-01-27,473.12731929891424,451.6777387797254,495.1161940542297
2021-01-28,467.4737018227621,446.09708711416675,491.84627115504065
2021-01-29,459.1294092471906,437.88797402022453,480.72398097772754
